case_number,member_state,directorate_general,LFN_258,RO_258,RF_258,date_LFN_258,date_RO_258,date_RF_258,LFN_close,year,election_id,election_date,LFN_election,incorrect,workload,daysbeforeED,out_eu_cont,out_left_cont,influence,support,distance,effectiveness,expenditures,pilot,length,commission,addressee,scope,bureaucracy_quality
20072235,Denmark,Environment,1,1,0,11/13/07,11/24/10,NA,11/24/10,2007,174,11/13/07,0,1,-1.035902187,0,-1.5957,3.4909,-0.784444013,0.116426934,0.402426875,1.913949232,1.421411895,0,NA,NA,NA,NA,1.027478538
20072366,Poland,Maritime Affairs and Fisheries,1,0,0,10/19/07,NA,NA,5/14/09,2007,560,10/19/07,0,1,-0.109402204,0,3.8892,1.4642,1.130463075,1.501200905,0.052002492,-1.276375181,-1.435158676,0,NA,NA,NA,NA,-0.349056467
20030524,Belgium,Enterprise and Industry,1,1,0,5/16/03,12/16/03,NA,12/16/03,2003,143,5/18/03,1,0,-0.81226426,2,-0.6084,4.0746,2.08449714,0.299235379,-0.442481479,1.26527392,0.528541668,0,NA,NA,NA,NA,1.027478538
20030525,Belgium,Internal Market and Services,1,1,1,5/16/03,10/15/03,1/21/04,10/15/03,2003,143,5/18/03,1,0,-1.067850463,2,-0.6084,4.0746,2.08449714,0.299235379,-0.442481479,1.26527392,0.528541668,0,9.606428318,0,0,0,1.027478538
20030526,Belgium,Health and Consumers,1,0,0,5/16/03,NA,NA,12/16/03,2003,143,5/18/03,1,0,-0.620574609,2,-0.6084,4.0746,2.08449714,0.299235379,-0.442481479,1.26527392,0.528541668,0,8.704668113,0,0,1,1.027478538
20030527,Belgium,Health and Consumers,1,1,0,5/16/03,12/16/03,NA,12/16/03,2003,143,5/18/03,1,0,-0.81226426,2,-0.6084,4.0746,2.08449714,0.299235379,-0.442481479,1.26527392,0.528541668,0,9.624368711,0,0,19,1.027478538
20030528,Belgium,Health and Consumers,1,0,0,5/16/03,NA,NA,12/16/03,2003,143,5/18/03,1,0,-0.620574609,2,-0.6084,4.0746,2.08449714,0.299235379,-0.442481479,1.26527392,0.528541668,0,7.427738841,1,0,1,1.027478538
20030529,Belgium,Health and Consumers,1,0,0,5/16/03,NA,NA,12/16/03,2003,143,5/18/03,1,0,-0.620574609,2,-0.6084,4.0746,2.08449714,0.299235379,-0.442481479,1.26527392,0.528541668,0,NA,NA,NA,NA,1.027478538
20030530,Belgium,Taxation and Customs Union,1,0,0,5/16/03,NA,NA,10/13/04,2003,143,5/18/03,1,0,-0.972005637,2,-0.6084,4.0746,2.08449714,0.299235379,-0.442481479,1.26527392,0.528541668,0,NA,NA,NA,NA,1.027478538
20030531,Belgium,Mobility and Transport,1,0,0,5/16/03,NA,NA,10/15/03,2003,143,5/18/03,1,0,-0.524729783,2,-0.6084,4.0746,2.08449714,0.299235379,-0.442481479,1.26527392,0.528541668,0,NA,NA,NA,NA,1.027478538
20045051,United Kingdom,Taxation and Customs Union,1,0,0,5/3/05,NA,NA,6/28/06,2005,233,5/5/05,1,1,0.082287447,2,-4.668,-3.0699,1.529551186,-1.505998016,-0.027775525,0.917783718,1.28897927,0,NA,NA,NA,NA,1.027478538
20060385,Czech Republic,Mobility and Transport,1,0,0,6/1/06,NA,NA,10/12/06,2006,50,6/3/06,1,0,0.178132273,2,-4.1087,-4.3174,-0.219814867,0.207831157,0.433498273,-0.178614284,-0.707500714,0,8.761080104,0,0,0,-0.349056467
20060386,Czech Republic,"Justice, Fundamental Rights and Citizenship",1,1,0,6/1/06,12/12/06,NA,12/12/06,2006,50,6/3/06,1,0,-0.908109086,2,-4.1087,-4.3174,-0.219814867,0.207831157,0.433498273,-0.178614284,-0.707500714,0,9.11195547,0,0,9,-0.349056467
20060387,Czech Republic,Internal Market and Services,1,0,0,6/1/06,NA,NA,10/12/06,2006,50,6/3/06,1,0,0.178132273,2,-4.1087,-4.3174,-0.219814867,0.207831157,0.433498273,-0.178614284,-0.707500714,0,8.658171785,0,0,0,-0.349056467
20060388,Czech Republic,Mobility and Transport,1,0,0,6/1/06,NA,NA,10/12/06,2006,50,6/3/06,1,0,0.178132273,2,-4.1087,-4.3174,-0.219814867,0.207831157,0.433498273,-0.178614284,-0.707500714,0,9.379661117,0,0,6,-0.349056467
20060389,Czech Republic,Mobility and Transport,1,0,0,6/1/06,NA,NA,10/12/06,2006,50,6/3/06,1,0,0.178132273,2,-4.1087,-4.3174,-0.219814867,0.207831157,0.433498273,-0.178614284,-0.707500714,0,9.163667964,0,0,68,-0.349056467
20072262,Poland,Internal Market and Services,1,1,1,10/17/07,9/18/08,4/14/09,9/18/08,2007,560,10/19/07,1,1,-1.131747013,2,3.8892,1.4642,1.130463075,1.501200905,0.052002492,-1.276375181,-1.435158676,0,NA,NA,NA,NA,-0.349056467
20074139,Poland,Taxation and Customs Union,1,1,1,10/17/07,6/26/08,5/14/09,6/26/08,2007,560,10/19/07,1,1,-0.684471159,2,3.8892,1.4642,1.130463075,1.501200905,0.052002492,-1.276375181,-1.435158676,0,NA,NA,NA,NA,-0.349056467
20100303,Czech Republic,Enterprise and Industry,1,0,0,5/27/10,NA,NA,9/30/10,2010,599,5/29/10,1,0,0.4017702,2,4.1087,4.3174,-0.305717242,-0.811325925,-0.017499142,-0.444958945,-0.497168785,1,9.253208272,0,0,0,-0.349056467
20100304,Czech Republic,Environment,1,1,0,5/27/10,9/30/10,NA,9/30/10,2010,599,5/29/10,1,0,-0.492781508,2,4.1087,4.3174,-0.305717242,-0.811325925,-0.017499142,-0.444958945,-0.497168785,1,8.491465043,0,0,0,-0.349056467
20100305,Czech Republic,Health and Consumers,1,0,0,5/27/10,NA,NA,1/27/11,2010,599,5/29/10,1,0,-0.269143581,2,4.1087,4.3174,-0.305717242,-0.811325925,-0.017499142,-0.444958945,-0.497168785,1,8.690474004,0,0,1,-0.349056467
20100306,Czech Republic,Environment,1,1,0,5/27/10,9/30/10,NA,9/30/10,2010,599,5/29/10,1,0,-0.620574609,2,4.1087,4.3174,-0.305717242,-0.811325925,-0.017499142,-0.444958945,-0.497168785,1,8.043984431,0,0,16,-0.349056467
20100307,Czech Republic,Environment,1,0,0,5/27/10,NA,NA,9/30/10,2010,599,5/29/10,1,0,0.4017702,2,4.1087,4.3174,-0.305717242,-0.811325925,-0.017499142,-0.444958945,-0.497168785,1,6.950814768,1,0,1,-0.349056467
20100308,Czech Republic,Environment,1,0,0,5/27/10,NA,NA,9/30/10,2010,599,5/29/10,1,0,0.4017702,2,4.1087,4.3174,-0.305717242,-0.811325925,-0.017499142,-0.444958945,-0.497168785,1,7.089243155,1,0,1,-0.349056467
20100309,Czech Republic,Enterprise and Industry,1,0,0,5/27/10,NA,NA,2/16/11,2010,599,5/29/10,1,0,-0.301091856,2,4.1087,4.3174,-0.305717242,-0.811325925,-0.017499142,-0.444958945,-0.497168785,1,8.640295389,1,0,3,-0.349056467
20100310,Czech Republic,Health and Consumers,1,0,0,5/27/10,NA,NA,9/30/10,2010,599,5/29/10,1,0,0.4017702,2,4.1087,4.3174,-0.305717242,-0.811325925,-0.017499142,-0.444958945,-0.497168785,1,8.435332165,1,0,1,-0.349056467
20102042,Latvia,"Employment, Social Affairs and Equal Opportunities",1,0,0,9/30/10,NA,NA,6/20/13,2010,690,10/2/10,1,1,-1.067850463,2,7.9,-7.4,-1.071680077,-0.761053602,-0.532085421,-0.76056155,-1.543614914,0,8.773694146,0,0,0,-1.03732397
20102130,Latvia,Energy,1,0,0,9/30/10,NA,NA,1/27/11,2010,690,10/2/10,1,1,-0.492781508,2,7.9,-7.4,-1.071680077,-0.761053602,-0.532085421,-0.76056155,-1.543614914,0,10.20043903,0,0,14,-1.03732397
20130291,Austria,Internal Market and Services,1,0,0,9/27/13,NA,NA,7/10/14,2013,802,9/29/13,1,0,-0.652522884,2,0.3956,-2.744,-0.51624822,-1.633963927,-0.946096348,0.621968942,0.984744712,1,10.79704176,0,0,5,1.027478538
20130292,Austria,Environment,1,0,0,9/27/13,NA,NA,4/16/14,2013,802,9/29/13,1,0,-0.556678058,2,0.3956,-2.744,-0.51624822,-1.633963927,-0.946096348,0.621968942,0.984744712,1,7.342779189,1,0,1,1.027478538
20082273,Romania,Environment,1,1,0,11/27/08,9/30/10,NA,9/30/10,2008,319,11/30/08,1,1,-1.067850463,3,-0.077,0.6668,-0.114226535,1.437217949,0.573544169,-2.456635208,-1.455570046,0,8.960981174,0,0,0,-3.102126477
20082274,Romania,Environment,1,1,0,11/27/08,11/20/09,NA,11/20/09,2008,319,11/30/08,1,1,-1.035902187,3,-0.077,0.6668,-0.114226535,1.437217949,0.573544169,-2.456635208,-1.455570046,0,10.61533381,0,0,10,-3.102126477
20112064,Cyprus,"Justice, Fundamental Rights and Citizenship",1,1,0,5/19/11,6/20/13,NA,6/20/13,2011,701,5/22/11,1,1,-1.099798738,3,NA,-3.5526,-1.071680077,-0.390866501,2.383625202,0.619339007,0.36846284,0,9.11195547,0,0,9,1.027478538
20114039,Cyprus,Environment,1,0,0,5/19/11,NA,NA,2/26/15,2011,701,5/22/11,1,1,-1.131747013,3,NA,-3.5526,-1.071680077,-0.390866501,2.383625202,0.619339007,0.36846284,0,NA,NA,NA,NA,1.027478538
20132145,Austria,Mobility and Transport,1,1,0,9/26/13,2/26/15,NA,2/26/15,2013,802,9/29/13,1,1,-1.003953912,3,0.3956,-2.744,-0.51624822,-1.633963927,-0.946096348,0.621968942,0.984744712,1,NA,NA,NA,NA,1.027478538
20132175,Austria,Environment,1,0,0,9/26/13,NA,NA,4/28/16,2013,802,9/29/13,1,0,-1.131747013,3,0.3956,-2.744,-0.51624822,-1.633963927,-0.946096348,0.621968942,0.984744712,1,10.55249997,0,0,14,1.027478538
20134152,Austria,Economic and Financial Affairs,1,0,0,9/26/13,NA,NA,4/28/16,2013,802,9/29/13,1,1,-1.131747013,3,0.3956,-2.744,-0.51624822,-1.633963927,-0.946096348,0.621968942,0.984744712,1,NA,NA,NA,NA,1.027478538
20142082,Slovenia,Mobility and Transport,1,1,1,7/10/14,2/26/15,11/19/15,2/26/15,2014,817,7/13/14,1,1,-1.099798738,3,-0.704,3.6996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.349056467
20142093,Slovenia,"Justice, Fundamental Rights and Citizenship",1,0,0,7/10/14,NA,NA,7/22/16,2014,817,7/13/14,1,1,-1.131747013,3,-0.704,3.6996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.349056467
20142268,Estonia,Mobility and Transport,1,0,0,2/26/15,NA,NA,2/25/16,2015,853,3/1/15,1,1,-1.003953912,3,-3.5597,3.9407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.03732397
20152164,Poland,Environment,1,0,0,10/22/15,NA,NA,2/25/16,2015,996,10/25/15,1,1,-0.269143581,3,-3.8892,-1.4642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.349056467
20050056,Denmark,Health and Consumers,1,0,0,2/4/05,NA,NA,7/5/05,2005,563,2/8/05,1,0,0.146183998,4,-1.5957,3.4909,-0.734334295,-0.436568612,0.405945928,1.560989726,1.286962839,0,8.933268479,0,0,0,1.027478538
20050057,Denmark,Health and Consumers,1,0,0,2/4/05,NA,NA,7/5/05,2005,563,2/8/05,1,0,0.146183998,4,-1.5957,3.4909,-0.734334295,-0.436568612,0.405945928,1.560989726,1.286962839,0,7.465082736,1,0,4,1.027478538
20050058,Denmark,Enterprise and Industry,1,0,0,2/4/05,NA,NA,12/13/05,2005,563,2/8/05,1,0,-0.620574609,4,-1.5957,3.4909,-0.734334295,-0.436568612,0.405945928,1.560989726,1.286962839,0,7.19142933,1,0,1,1.027478538
20050059,Denmark,Enterprise and Industry,1,0,0,2/4/05,NA,NA,10/12/05,2005,563,2/8/05,1,0,-0.460833232,4,-1.5957,3.4909,-0.734334295,-0.436568612,0.405945928,1.560989726,1.286962839,0,6.995766156,1,0,0,1.027478538
20050060,Denmark,Health and Consumers,1,0,0,2/4/05,NA,NA,7/5/05,2005,563,2/8/05,1,0,0.146183998,4,-1.5957,3.4909,-0.734334295,-0.436568612,0.405945928,1.560989726,1.286962839,0,6.436150368,1,0,0,1.027478538
20090269,Luxembourg,Environment,1,0,0,6/3/09,NA,NA,10/29/09,2009,172,6/7/09,1,0,-0.045505654,4,NA,3.1579,-1.071680077,1.501200905,-1.301527255,0.915148134,2.033080762,0,6.97634807,1,0,1,1.027478538
20090270,Luxembourg,Environment,1,0,0,6/3/09,NA,NA,10/29/09,2009,172,6/7/09,1,0,-0.045505654,4,NA,3.1579,-1.071680077,1.501200905,-1.301527255,0.915148134,2.033080762,0,6.993932975,1,0,1,1.027478538
20090271,Luxembourg,Environment,1,0,0,6/3/09,NA,NA,10/29/09,2009,172,6/7/09,1,0,-0.045505654,4,NA,3.1579,-1.071680077,1.501200905,-1.301527255,0.915148134,2.033080762,0,7.037027615,1,0,1,1.027478538
20090272,Luxembourg,Environment,1,0,0,6/3/09,NA,NA,10/29/09,2009,172,6/7/09,1,0,-0.045505654,4,NA,3.1579,-1.071680077,1.501200905,-1.301527255,0.915148134,2.033080762,0,6.939253946,1,0,2,1.027478538
20090273,Luxembourg,Health and Consumers,1,0,0,6/3/09,NA,NA,10/8/09,2009,172,6/7/09,1,0,0.242028824,4,NA,3.1579,-1.071680077,1.501200905,-1.301527255,0.915148134,2.033080762,0,7.695303135,1,0,4,1.027478538
20110567,Cyprus,Mobility and Transport,1,0,0,5/18/11,NA,NA,6/21/12,2011,701,5/22/11,1,0,-0.876160811,4,NA,-3.5526,-1.071680077,-0.390866501,2.383625202,0.619339007,0.36846284,0,8.246433786,0,0,0,1.027478538
20110568,Cyprus,Enterprise and Industry,1,0,0,5/18/11,NA,NA,9/29/11,2011,701,5/22/11,1,0,0.178132273,4,NA,-3.5526,-1.071680077,-0.390866501,2.383625202,0.619339007,0.36846284,0,8.32700074,1,0,14,1.027478538
20110569,Cyprus,Enterprise and Industry,1,0,0,5/18/11,NA,NA,9/29/11,2011,701,5/22/11,1,0,0.178132273,4,NA,-3.5526,-1.071680077,-0.390866501,2.383625202,0.619339007,0.36846284,0,9.892022074,1,0,13,1.027478538
20110570,Cyprus,Health and Consumers,1,0,0,5/18/11,NA,NA,9/29/11,2011,701,5/22/11,1,0,0.178132273,4,NA,-3.5526,-1.071680077,-0.390866501,2.383625202,0.619339007,0.36846284,0,7.988882253,1,0,1,1.027478538
20110571,Cyprus,Health and Consumers,1,0,0,5/18/11,NA,NA,9/29/11,2011,701,5/22/11,1,0,0.178132273,4,NA,-3.5526,-1.071680077,-0.390866501,2.383625202,0.619339007,0.36846284,0,8.682029434,0,0,4,1.027478538
20122156,Italy,Taxation and Customs Union,1,1,0,2/21/13,9/25/14,NA,9/25/14,2013,789,2/25/13,1,1,-0.524729783,4,2.7394,4.5243,1.321953782,-1.597402238,NA,-1.199420898,0.250836343,1,NA,NA,NA,NA,-1.03732397
20122157,Italy,Taxation and Customs Union,1,1,0,2/21/13,9/25/14,NA,9/25/14,2013,789,2/25/13,1,1,-0.524729783,4,2.7394,4.5243,1.321953782,-1.597402238,NA,-1.199420898,0.250836343,1,NA,NA,NA,NA,-1.03732397
20132032,Italy,Environment,1,0,0,2/21/13,NA,NA,10/17/13,2013,789,2/25/13,1,1,0.305925374,4,2.7394,4.5243,1.321953782,-1.597402238,NA,-1.199420898,0.250836343,1,8.885302513,0,0,0,-1.03732397
20134009,Italy,Home Affairs,1,0,0,2/21/13,NA,NA,3/28/14,2013,789,2/25/13,1,1,-0.20524703,4,2.7394,4.5243,1.321953782,-1.597402238,NA,-1.199420898,0.250836343,1,9.499571244,0,0,0,-1.03732397
20034616,Italy,Internal Market and Services,1,0,0,4/4/06,NA,NA,5/5/10,2006,107,4/9/06,1,1,-0.588626333,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,NA,NA,NA,NA,-1.03732397
20035079,Italy,Enterprise and Industry,1,1,1,4/4/06,12/12/06,6/27/07,12/12/06,2006,107,4/9/06,1,1,0.785149504,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,10.72696099,0,0,0,-1.03732397
20044266,Italy,Enterprise and Industry,1,1,1,4/4/06,12/12/06,6/27/07,12/12/06,2006,107,4/9/06,1,1,0.785149504,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,10.72696099,0,0,0,-1.03732397
20044814,Hungary,Internal Market and Services,1,1,0,4/4/06,3/21/07,NA,3/21/07,2006,194,4/9/06,1,1,-1.195643564,5,-3.0424,-3.6689,-0.219814867,-0.436568612,1.855383407,-0.506830212,-0.576942048,0,NA,NA,NA,NA,-0.349056467
20045021,Italy,Taxation and Customs Union,1,0,0,4/4/06,NA,NA,6/27/07,2006,107,4/9/06,1,1,2.318666717,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,NA,NA,NA,NA,-1.03732397
20045053,Italy,"Employment, Social Affairs and Equal Opportunities",1,0,0,4/4/06,NA,NA,10/17/07,2006,107,4/9/06,1,1,1.456063284,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,NA,NA,NA,NA,-1.03732397
20045100,Italy,Internal Market and Services,1,0,0,4/4/06,NA,NA,3/21/07,2006,107,4/9/06,1,1,2.510356369,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,NA,NA,NA,NA,-1.03732397
20045118,Italy,Internal Market and Services,1,0,0,4/4/06,NA,NA,6/27/07,2006,107,4/9/06,1,1,2.318666717,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,NA,NA,NA,NA,-1.03732397
20052107,Italy,Taxation and Customs Union,1,1,1,4/4/06,6/27/07,6/26/08,6/27/07,2006,107,4/9/06,1,1,-0.74836771,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,NA,NA,NA,NA,-1.03732397
20052256,Italy,Internal Market and Services,1,0,0,4/4/06,NA,NA,12/12/06,2006,107,4/9/06,1,1,3.181270149,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,NA,NA,NA,NA,-1.03732397
20052433,Italy,"Employment, Social Affairs and Equal Opportunities",1,1,1,4/4/06,3/21/07,10/17/07,3/21/07,2006,107,4/9/06,1,1,-0.556678058,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,8.686429509,0,0,1,-1.03732397
20054123,Hungary,Taxation and Customs Union,1,0,0,4/4/06,NA,NA,9/18/08,2006,194,4/9/06,1,1,-1.035902187,5,-3.0424,-3.6689,-0.219814867,-0.436568612,1.855383407,-0.506830212,-0.576942048,0,NA,NA,NA,NA,-0.349056467
20054128,Italy,Environment,1,0,0,4/4/06,NA,NA,1/31/08,2006,107,4/9/06,1,1,1.200477082,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,NA,NA,NA,NA,-1.03732397
20054208,Italy,Internal Market and Services,1,0,0,4/4/06,NA,NA,3/21/07,2006,107,4/9/06,1,1,2.510356369,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,NA,NA,NA,NA,-1.03732397
